EstICmpName,kJobCode
CPC000007,380070
CPC000007,380070
CPC000008,380105
CPC000008,380105
CPC000012,380105
CPC000012,380105
CPC000020,371024
CPC000020,371024
CPC000021,371024
CPC000021,371024
CPC000023,380008
CPC000023,371122
CPC000023,371005
CPC000023,371005
CPC000024,380008
CPC000024,371122
CPC000024,371005
CPC000024,371005
CPC000025,380008
CPC000025,371122
CPC000025,371005
CPC000025,371005
CPC000026,380008
CPC000026,380008
CPC000026,371122
CPC000026,371122
CPC000026,371005
CPC000026,371005
CPC000027,380008
CPC000027,380008
CPC000027,371122
CPC000027,371122
CPC000027,371005
CPC000027,371005
CPC000028,380008
CPC000028,380008
CPC000028,371122
CPC000028,371122
CPC000028,371005
CPC000028,371005
CPC000029,380008
CPC000029,380008
CPC000029,371122
CPC000029,371122
CPC000029,371005
CPC000029,371005
CPC000030,380008
CPC000030,380008
CPC000030,371122
CPC000030,371122
CPC000030,371005
CPC000030,371005
CPC000031,380008
CPC000031,380008
CPC000031,371122
CPC000031,371122
CPC000031,371005
CPC000031,371005
CPC000032,380008
CPC000032,371122
CPC000032,371005
CPC000032,371005
CPC000033,380008
CPC000033,371122
CPC000033,371005
CPC000033,371005
CPC000034,380008
CPC000034,371122
CPC000034,371005
CPC000034,371005
CPC000035,380077
CPC000035,380077
CPC000035,380076
CPC000035,380076
CPC000035,380074
CPC000035,380074
CPC000035,371037
CPC000035,371037
CPC000036,380077
CPC000036,380077
CPC000036,380076
CPC000036,380076
CPC000036,380074
CPC000036,380074
CPC000036,371037
CPC000036,371037
CPC000036,380866
CPC000036,380866
CPC000037,380077
CPC000037,380077
CPC000037,380076
CPC000037,380076
CPC000037,380074
CPC000037,380074
CPC000037,371037
CPC000037,371037
CPC000038,371035
CPC000038,371035
CPC000039,371035
CPC000039,371035
CPC000039,380233
CPC000039,380233
CPC000040,380077
CPC000040,380077
CPC000040,380076
CPC000040,380076
CPC000040,380074
CPC000040,380074
CPC000040,371037
CPC000040,371037
CPC000041,371035
CPC000041,371035
CPC000043,371038
CPC000043,371038
CPC000043,371123
CPC000043,371123
CPC000043,380231
CPC000043,380231
CPC000044,371038
CPC000044,371038
CPC000044,371123
CPC000044,371123
CPC000045,371038
CPC000045,371038
CPC000045,371123
CPC000045,371123
CPC000046,371038
CPC000046,371038
CPC000046,371123
CPC000046,371123
CPC000046,380231
CPC000046,380231
CPC000047,371039
CPC000047,371039
CPC000047,380232
CPC000047,380232
CPC000048,371039
CPC000048,371039
CPC000048,380233
CPC000048,380233
CPC000049,371038
CPC000049,371038
CPC000049,371123
CPC000049,371123
CPC000049,380232
CPC000049,380232
CPC000050,371035
CPC000050,371035
CPC000050,380231
CPC000050,380231
CPC000051,371035
CPC000051,371035
CPC000051,380233
CPC000051,380233
CPC000052,371035
CPC000052,371035
CPC000053,371039
CPC000053,371039
CPC000054,371039
CPC000054,371039
CPC000055,371038
CPC000055,371038
CPC000055,371123
CPC000055,371123
CPC000056,371038
CPC000056,371038
CPC000056,371123
CPC000056,371123
CPC000056,380233
CPC000056,380233
CPC000057,371038
CPC000057,371038
CPC000057,371123
CPC000057,371123
CPC000057,380233
CPC000057,380233
CPC000058,371038
CPC000058,371038
CPC000058,371123
CPC000058,371123
CPC000058,380233
CPC000058,380233
CPC000059,371040
CPC000059,371040
CPC000059,380231
CPC000059,380231
CPC000060,371039
CPC000060,371039
CPC000061,371038
CPC000061,371038
CPC000061,371123
CPC000061,371123
CPC000062,371039
CPC000062,371039
CPC000063,371038
CPC000063,371038
CPC000063,371123
CPC000063,371123
CPC000064,371038
CPC000064,371038
CPC000064,371123
CPC000064,371123
CPC000064,380232
CPC000064,380232
CPC000065,371038
CPC000065,371038
CPC000065,371123
CPC000065,371123
CPC000065,380232
CPC000065,380232
CPC000066,371038
CPC000066,371038
CPC000066,371123
CPC000066,371123
CPC000067,371038
CPC000067,371038
CPC000067,371123
CPC000067,371123
CPC000068,371007
CPC000068,371007
CPC000069,371038
CPC000069,371038
CPC000069,371123
CPC000069,371123
CPC000070,371038
CPC000070,371038
CPC000070,371123
CPC000070,371123
CPC000081,380014
CPC000081,380014
CPC000081,380095
CPC000081,380095
CPC000081,371012
CPC000081,371012
CPC000081,380312
CPC000081,380312
CPC000081,380462
CPC000081,380462
CPC000081,390560
CPC000081,390560
CPC000081,391329
CPC000081,391329
CPC000081,391959
CPC000081,391959
CPC000081,392170
CPC000081,392170
CPC000081,392414
CPC000081,392414
CPC000083,380014
CPC000083,380014
CPC000083,380095
CPC000083,380095
CPC000083,371012
CPC000083,371012
CPC000083,380312
CPC000083,380312
CPC000083,380462
CPC000083,380462
CPC000083,390560
CPC000083,390560
CPC000083,391329
CPC000083,391329
CPC000083,391959
CPC000083,391959
CPC000083,392170
CPC000083,392170
CPC000083,392414
CPC000083,392414
CPC000084,380014
CPC000084,380014
CPC000084,380095
CPC000084,380095
CPC000084,371012
CPC000084,371012
CPC000084,380312
CPC000084,380312
CPC000084,380462
CPC000084,380462
CPC000084,390560
CPC000084,390560
CPC000084,391329
CPC000084,391329
CPC000084,391959
CPC000084,391959
CPC000084,392170
CPC000084,392170
CPC000084,392414
CPC000084,392414
CPC000085,380014
CPC000085,380014
CPC000085,380095
CPC000085,380095
CPC000085,371012
CPC000085,371012
CPC000085,391329
CPC000085,391329
CPC000085,391959
CPC000085,391959
CPC000086,380014
CPC000086,380014
CPC000086,380095
CPC000086,380095
CPC000086,371012
CPC000086,371012
CPC000086,391329
CPC000086,391329
CPC000086,391959
CPC000086,391959
CPC000087,380014
CPC000087,380014
CPC000087,380095
CPC000087,380095
CPC000087,371012
CPC000087,371012
CPC000087,391329
CPC000087,391329
CPC000087,391959
CPC000087,391959
CPC000088,380014
CPC000088,380014
CPC000088,371012
CPC000088,371012
CPC000089,380014
CPC000089,380014
CPC000089,371012
CPC000089,371012
CPC000090,380014
CPC000090,380014
CPC000090,371012
CPC000090,371012
CPC000094,371013
CPC000094,371013
CPC000095,371013
CPC000095,371013
CPC000096,371013
CPC000096,371013
CPC000102,380027
CPC000102,380027
CPC000102,371015
CPC000102,371015
CPC000103,380027
CPC000103,380027
CPC000103,371015
CPC000103,371015
CPC000104,371015
CPC000104,371015
CPC000105,371015
CPC000105,371015
CPC000106,371040
CPC000106,371040
CPC000106,380233
CPC000106,380233
CPC000107,371040
CPC000107,371040
CPC000108,371039
CPC000108,371039
CPC000109,371035
CPC000109,371035
CPC000109,380231
CPC000109,380231
CPC000110,371035
CPC000110,371035
CPC000110,380232
CPC000110,380232
CPC000111,371039
CPC000111,371039
CPC000112,371035
CPC000112,371035
CPC000112,380233
CPC000112,380233
CPC000113,371040
CPC000113,371040
CPC000114,371035
CPC000114,371035
CPC000114,380231
CPC000114,380231
CPC000115,371035
CPC000115,371035
CPC000115,380232
CPC000115,380232
CPC000116,371035
CPC000116,371035
CPC000117,371035
CPC000117,371035
CPC000117,380233
CPC000117,380233
CPC000118,371036
CPC000118,371036
CPC000118,380232
CPC000118,380232
CPC000119,371038
CPC000119,371038
CPC000119,371123
CPC000119,371123
CPC000120,371036
CPC000120,371036
CPC000121,371038
CPC000121,371038
CPC000121,371123
CPC000121,371123
CPC000122,371035
CPC000122,371035
CPC000123,371036
CPC000123,371036
CPC000123,380232
CPC000123,380232
CPC000125,371038
CPC000125,371038
CPC000125,371123
CPC000125,371123
CPC000125,371079
CPC000125,380233
CPC000125,380233
CPC000126,371038
CPC000126,371038
CPC000126,371123
CPC000126,371123
CPC000127,371036
CPC000127,371036
CPC000128,371038
CPC000128,371038
CPC000128,371123
CPC000128,371123
CPC000129,371038
CPC000129,371038
CPC000129,371123
CPC000129,371123
CPC000130,371038
CPC000130,371038
CPC000130,371123
CPC000130,371123
CPC000131,371038
CPC000131,371038
CPC000131,371123
CPC000131,371123
CPC000132,371038
CPC000132,371038
CPC000132,371123
CPC000132,371123
CPC000133,371038
CPC000133,371038
CPC000133,371123
CPC000133,371123
CPC000134,371038
CPC000134,371038
CPC000134,371123
CPC000134,371123
CPC000135,371035
CPC000135,371035
CPC000136,371035
CPC000136,371035
CPC000137,371040
CPC000137,371040
CPC000138,371040
CPC000138,371040
CPC000139,371035
CPC000139,371035
CPC000140,371035
CPC000140,371035
CPC000141,371035
CPC000141,371035
CPC000142,371035
CPC000142,371035
CPC000143,371039
CPC000143,371039
CPC000144,371039
CPC000144,371039
CPC000145,371039
CPC000145,371039
CPC000146,371039
CPC000146,371039
CPC000153,371031
CPC000153,371031
CPC000153,371030
CPC000153,371030
CPC000154,371033
CPC000154,371033
CPC000155,380188
CPC000155,380188
CPC000156,371041
CPC000156,371041
CPC000157,371041
CPC000157,371041
CPC000158,371041
CPC000158,371041
CPC000172,380131
CPC000172,380131
CPC000174,380131
CPC000174,380131
CPC000175,380131
CPC000175,380131
CPC000176,380131
CPC000176,380131
CPC000177,380131
CPC000177,380131
CPC000178,380131
CPC000178,380131
CPC000186,370965
CPC000187,370965
CPC000188,370965
CPC000189,370965
CPC000190,370965
CPC000191,370965
CPC000192,380131
CPC000192,380131
CPC000197,380090
CPC000197,380090
CPC000200,371061
CPC000200,371061
CPC000201,371087
CPC000201,371087
CPC000202,371088
CPC000202,371088
CPC000203,371089
CPC000203,371089
CPC000204,371089
CPC000204,371089
CPC000205,371089
CPC000205,371089
CPC000206,371089
CPC000206,371089
CPC000207,371090
CPC000207,371090
CPC000208,371091
CPC000208,371091
CPC000209,371090
CPC000209,371090
CPC000210,371090
CPC000210,371090
CPC000210,380608
CPC000210,380608
CPC000211,371091
CPC000211,371091
CPC000211,380608
CPC000211,380608
CPC000212,371102
CPC000212,371102
CPC000213,371102
CPC000213,371102
CPC000214,371063
CPC000214,371063
CPC000215,371063
CPC000215,371063
CPC000216,371094
CPC000216,371094
CPC000217,371065
CPC000217,371065
CPC000217,380199
CPC000217,380199
CPC000218,371065
CPC000218,371065
CPC000218,380199
CPC000218,380199
CPC000219,371065
CPC000219,371065
CPC000219,380199
CPC000219,380199
CPC000220,371065
CPC000220,371065
CPC000220,380199
CPC000220,380199
CPC000221,371064
CPC000221,371064
CPC000222,380010
CPC000222,380010
CPC000223,380010
CPC000223,380010
CPC000223,371052
CPC000223,371052
CPC000224,380010
CPC000224,380010
CPC000224,371052
CPC000224,371052
CPC000224,380221
CPC000224,380221
CPC000224,380323
CPC000224,380323
CPC000224,380765
CPC000224,380765
CPC000224,381428
CPC000224,381428
CPC000224,390057
CPC000224,390057
CPC000224,390462
CPC000224,390462
CPC000224,390757
CPC000224,390757
CPC000224,391212
CPC000224,391212
CPC000224,391598
CPC000224,391598
CPC000224,391968
CPC000224,391968
CPC000224,400137
CPC000224,400137
CPC000224,400597
CPC000224,400597
CPC000224,400876
CPC000224,400876
CPC000224,401039
CPC000224,401039
CPC000224,401122
CPC000224,401122
CPC000224,401456
CPC000224,401456
CPC000224,401614
CPC000224,401614
CPC000224,401827
CPC000224,401827
CPC000225,380010
CPC000225,380010
CPC000225,380765
CPC000226,380010
CPC000226,380010
CPC000226,371052
CPC000226,371052
CPC000226,380765
CPC000226,380765
CPC000226,381191
CPC000226,381191
CPC000226,390057
CPC000226,390057
CPC000226,390757
CPC000226,390757
CPC000226,391430
CPC000226,391430
CPC000226,400137
CPC000226,400137
CPC000226,400876
CPC000226,400876
CPC000226,401614
CPC000226,401614
CPC000226,401827
CPC000226,401827
CPC000227,380010
CPC000227,380010
CPC000227,371052
CPC000227,371052
CPC000228,380010
CPC000228,380010
CPC000229,380142
CPC000229,380142
CPC000229,371052
CPC000229,371052
CPC000229,381716
CPC000229,381716
CPC000230,380765
CPC000230,380765
CPC000230,381716
CPC000230,381716
CPC000231,371052
CPC000231,371052
CPC000231,381191
CPC000231,381191
CPC000231,390757
CPC000231,390757
CPC000231,391598
CPC000231,391598
CPC000231,400137
CPC000231,400137
CPC000231,400876
CPC000231,400876
CPC000232,371052
CPC000232,371052
CPC000232,380221
CPC000232,380221
CPC000232,380323
CPC000232,380323
CPC000232,380442
CPC000232,380442
CPC000232,380765
CPC000232,380765
CPC000232,381042
