JobID,ItemID,JobItemID,DateFound,InspectShift,InspectGluer,DefectCode,DefectDesc,CaseQty,DefectiveSamples,TotalSamples,OriginMachineID,Quantity
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,4,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,10,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,10,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,7,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,15,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,7,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,18,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,8,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,7,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,10,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,9,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,2,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,5,32,KBA RAPIDA130 P3 ,0
411649,7456,4116497456,10/21/2021,1,10,P1,Color Variation,1200,7,32,KBA RAPIDA130 P3 ,0
411758,8228,4117588228,10/21/2021,1,8,G2,Excess Glue,1800,15,52,GLUER #8 BOBST ,0
411758,8585,4117588585,10/21/2021,1,8,G2,Excess Glue,1800,6,52,GLUER #8 BOBST ,0
411758,8585,4117588585,10/21/2021,1,8,G2,Excess Glue,1800,10,52,GLUER #8 BOBST ,0
